GeoId,InDegree
411,121.44702017775549
493,23.484827113867468
1239,0
433,60.75804541366408
736,0
1304,0
872,0
24,0
744,0
390,6.565695767998379
1336,0
906,0
808,0
883,18.324060648330597
1064,0
1331,0
727,0
1386,0
583,0
738,0
1247,0
645,0
1050,0
402,23.890171514153817
120,0
539,0
1187,0
650,0
1208,0
62,0
30,0
1295,0
908,0
680,0
339,0
1080,0
1296,0
145,0
605,0
1329,0
829,0
1011,0
516,0
1097,0
753,0
608,0
1293,0
999,0
693,0
1384,0
1266,0
257,0
873,0
564,0
90,0
1000,0
742,0
278,0
632,0
561,0
203,0
56,0
624,0
349,0
1333,0
514,0
1352,0
103,0
850,0
935,0
38,0
511,0
1111,0
285,0
4,0
813,0
401,49.23125730421147
824,0
1343,0
512,0
941,0
1364,0
798,0
1163,0
923,0
728,0
626,0
1339,0
1311,0
1035,0
1391,0
1127,0
1326,0
602,0
1047,0
89,0
1269,0
768,0
232,0
673,0
100,0
233,0
595,0
450,35.235962400728035
889,0
833,0
1139,0
623,0
393,31.874704583485997
701,0
777,0
504,31.990484781352112
550,0
781,0
762,0
240,0
574,0
305,0
1256,0
312,0
1088,0
576,0
296,0
710,0
342,0
572,0
1058,0
1112,0
963,0
1281,0
870,0
162,0
686,0
1341,0
1105,0
382,69.81910482296074
520,0
756,0
1039,0
655,0
775,0
911,0
563,0
594,0
324,0
76,0
896,0
830,0
597,0
530,0
1154,0
884,0
646,0
927,0
917,0
53,0
867,0
508,10.191056214687302
458,0.33489669137269995
1126,0
16,0
1025,0
1212,0
1290,0
1041,0
197,0
640,0
499,12.185161274347802
198,0
288,0
839,0
486,63.76733453564854
964,0
137,0
955,0
544,0
1084,0
939,0
1416,0
417,80.3180427743334
951,0
1013,0
432,47.04159146844156
34,0
1308,0
662,0
1393,0
123,0
575,0
1094,0
483,20.39168806715674
297,0
1404,0
558,0
1192,0
65,0
1274,0
7,0
651,0
1276,0
227,0
131,0
1012,0
1203,0
258,0
1279,0
298,0
292,0
275,0
159,0
627,0
915,0
1303,0
1217,0
643,0
161,0
435,106.17069396373299
1398,0
757,0
371,0
592,0
1315,0
1155,0
579,0
381,20.762615190759302
674,0
521,0
501,48.12821136064613
470,5.3581960815472
945,0
488,11.675288640898545
800,0
1221,0
1338,0
287,0
822,0
1253,0
1263,0
733,0
1166,0
700,0
1001,0
713,0
306,0
886,0
1132,0
1376,0
1060,0
1406,0
856,0
183,0
934,0
778,0
1146,0
1377,0
1018,0
936,0
25,0
1152,0
1412,0
513,0
286,0
6,0
1053,0
1316,0
1017,0
1216,0
782,0
1108,0
1004,0
1071,0
188,0
333,0
726,0
1313,0
192,0
497,27.54206887120791
948,0
992,0
396,59.016266019709725
509,57.08472041755707
1099,0
415,55.98214377117747
1083,0
79,0
1301,0
168,0
540,0
423,102.27285207626099
1273,0
317,0
1382,0
1114,0
974,0
1037,0
793,0
1015,0
1005,0
780,0
1324,0
459,87.74676673519863
980,0
49,0
468,92.4299339702704
892,0
926,0
1395,0
442,85.50295294426965
527,0
799,0
1330,0
752,0
319,0
1040,0
1016,0
581,0
599,0
169,0
1006,0
747,0
954,0
1079,0
598,0
109,0
1271,0
1335,0
63,0
1175,0
1191,0
1265,0
648,0
1415,0
950,0
487,22.88689280858997
937,0
1355,0
331,0
469,42.004003763938016
438,59.96081257047091
1143,0
1360,0
186,0
374,0
622,0
316,0
225,0
1031,0
