source,target,weight
129,448,0.252902440287
453,453,0.0
224,461,0.0
294,461,0.196676801271
1687,496,0.674533694325
1287,486,0.0
846,435,0.315051579066
795,506,0.357689097224
506,482,0.0664847799799
1673,508,0.23173435892
1119,1804,0.0
382,482,0.108346438421
1741,471,0.0
1505,377,0.0
441,490,0.0498071886045
420,425,0.00531710364201
411,883,0.0567176839577
1568,418,0.0
921,497,0.419344274461
1016,421,0.301558304513
431,450,0.0446980858411
297,437,0.171221519113
132,377,0.100050521787
417,451,0.0295977761343
549,500,0.0
441,468,0.200026243732
1167,410,0.135269277858
624,467,0.166146447135
113,418,0.616046415478
59,497,0.27878973308
986,407,0.545923769461
957,468,0.0
1018,502,0.226375313358
1674,426,0.0
552,377,0.22460287302
403,491,0.0823246339842
1152,465,0.180119500469
1147,425,0.0
1230,440,0.0
1299,883,0.0
101,404,0.0
433,427,0.00223557432503
422,381,0.0732838911807
505,479,0.0974018749719
269,421,0.141324593311
397,509,0.0377514731473
941,456,0.425474886738
1215,418,0.139573021774
860,507,0.373696087378
679,502,0.0
569,442,0.0
234,507,0.249312969326
45,449,0.452198038412
720,453,0.0
228,440,0.41564612925
502,397,0.0236365473223
311,402,0.0
1128,425,0.449389679076
1496,507,0.0
1099,461,0.330440343215
233,453,0.141902076315
1605,435,0.0
231,403,0.605920893609
1086,453,0.0
267,453,0.175509456047
750,497,0.334655221804
596,407,0.0
476,489,0.00985531519176
170,490,0.166737836828
332,377,0.198299236552
459,475,0.0311030996078
250,480,0.0
706,506,0.0
1314,468,0.0
1190,506,0.0
379,490,0.0
124,440,0.270922981301
159,416,0.0
268,473,0.0
255,467,0.974744296396
1300,490,0.0
252,403,0.218659761417
422,391,0.0717535546935
1005,425,0.65839709557
200,417,0.0
754,377,0.49624631056
1374,396,0.0
256,423,0.394290493419
1234,391,0.0
878,426,0.0
423,427,0.0129532864696
226,396,0.385392246516
436,883,0.103858298453
275,418,0.408892680951
759,382,0.0
262,394,0.0
17,507,0.590984824773
774,489,0.0
351,403,0.457571982389
1317,507,0.0
1437,453,0.368802261846
808,442,0.0
173,435,0.458290860882
517,507,0.575976235796
152,399,0.0
76,426,0.50888602514
285,460,0.0978563100685
297,399,0.355260799308
196,406,0.0
124,392,0.654006967642
670,448,0.0
803,396,0.405230028951
140,407,0.370543490945
796,461,0.212946738227
173,421,0.372862282268
613,442,0.292844339721
1558,396,0.475785458259
611,504,0.0
593,506,0.282165870095
1548,406,1.04225802975
196,465,0.119748458316
1091,412,0.201392088401
353,467,0.64793721768
1271,497,0.210640686667
1285,479,0.362900717474
824,401,0.796283822393
382,391,0.0319243273309
426,497,0.0960317475957
1188,425,0.232964461436
809,418,0.0
477,883,0.123661925158
417,404,0.116433280146
1170,421,0.424727278325
1216,883,0.0
544,425,0.433431322536
408,473,0.0299307923391
303,497,0.0
148,449,0.383395549568
1152,496,0.200614135522
484,396,0.111200976375
412,477,0.0440746203909
809,412,0.0
961,435,0.191228153177
276,392,0.555059351037
1493,425,0.446802974134
495,488,0.0107487558621
143,394,0.391606262987
444,508,0.0
153,456,0.0
525,425,0.0
1341,426,0.0
418,400,0.0
869,453,0.111027801053
810,467,0.0
987,506,0.317989926353
247,377,0.356829206408
491,495,0.0191068477066
408,475,0.0289245057281
1379,479,0.0
91,468,0.0984231126839
1054,508,0.0
613,456,0.372209315655
963,506,0.498199086361
337,406,0.0
368,442,0.128319871413
1071,418,0.211798346299
1423,497,1.06171721932
1420,404,0.0
353,440,0.0
189,394,0.180251163274
954,394,0.732767922419
91,508,0.257955728556
421,467,0.0
71,417,0.240561823103
1171,453,0.540101445332
1204,506,0.453395248272
502,488,0.0585934315951
355,448,0.253118193199
1388,502,0.0
571,508,0.0
856,467,0.688749812798
209,506,0.595567695073
769,502,0.0
51,449,0.495029177177
272,394,0.219378227128
795,498,0.0
425,402,0.0
597,497,0.0
1001,497,0.711333968067
944,399,0.0965455606357
1254,423,0.149263863192
1302,482,0.0
157,426,0.405612299559
816,466,0.118466452324
1702,382,0.0
477,473,0.0122499087997
802,407,0.0
437,499,0.0
818,507,0.143003418777
1692,377,0.0
930,883,0.0
1347,456,0.346820061857
1093,388,0.0244262192561
165,467,0.837986291352
1103,394,0.4772260015
22,489,0.238737445305
1208,403,0.0
108,453,0.0
135,505,0.0
419,377,0.0719707585763
476,400,0.0
1321,421,0.33813964127
599,508,0.298716500977
1042,400,0.105946907521
495,399,0.121423820367
1593,445,1.06664661574
701,401,0.0
182,426,0.215591166112
273,435,0.493435603104
489,377,0.0
489,480,0.00364203317196
1686,506,0.0
400,471,0.0
109,418,1.58323422988
795,442,0.0
1405,449,1.01712235262
419,446,0.0221947911546
1075,403,0.577013111774
1064,497,0.0
205,411,0.105879125019
1541,423,0.573986796396
432,401,0.16396791266
773,440,0.396616736745
79,502,0.354140929953
225,399,0.195215249162
22,486,0.299702100216
226,407,0.646746234072
297,440,0.385228906002
474,460,0.0
124,489,0.0
813,421,0.0
702,497,0.0
812,399,0.0980105244463
187,403,0.546281895549
400,467,0.0974080129639
418,412,0.0
506,486,0.0445819424274
574,406,0.0
1137,416,0.0988849316034
464,493,0.0
1619,456,0.0
29,449,0.325160860411
1167,467,0.867717341254
932,394,0.219140193539
109,488,1.45692490559
175,883,0.104484529165
1068,423,0.224693420567
91,479,0.219342465235
1716,421,0.0
305,377,0.328719512469
1019,423,0.222900229325
479,464,0.0
998,465,0.0
1218,407,0.199782130478
360,407,0.0
964,392,0.0
161,394,0.45036094042
492,448,0.0
138,426,0.312632176061
307,418,0.239182662607
1132,403,0.0
280,449,0.372088895751
225,435,0.535546385758
1019,403,0.356341052009
768,392,0.158828255635
156,403,0.423999021859
1288,425,0.232442309784
325,435,0.30867478023
1585,461,0.165155083006
700,403,0.18645926765
